zipcode,Period,Region,MSP
92102,2014-Q1,Golden Hill,252333.0
92102,2014-Q1,Lincoln Park,284000.0
92102,2014-Q1,Mt Hope,282000.0
92102,2014-Q1,Stockton,314667.0
92102,2014-Q2,Chollas View,240000.0
92102,2014-Q2,Golden Hill,371667.0
92102,2014-Q2,Lincoln Park,273000.0
92102,2014-Q2,Mt Hope,278333.0
92102,2014-Q2,Stockton,274000.0
92102,2014-Q3,Chollas View,245333.0
92102,2014-Q3,Golden Hill,419000.0
92102,2014-Q3,Lincoln Park,275000.0
92102,2014-Q3,Mt Hope,297667.0
92102,2014-Q3,Stockton,349333.0
92102,2014-Q4,Chollas View,316000.0
92102,2014-Q4,Golden Hill,365667.0
92102,2014-Q4,Lincoln Park,252333.0
92102,2014-Q4,Mt Hope,293333.0
92102,2014-Q4,Stockton,276667.0
92102,2015-Q1,Chollas View,229000.0
92102,2015-Q1,Golden Hill,434333.0
92102,2015-Q1,Lincoln Park,311000.0
92102,2015-Q1,Mt Hope,300000.0
92102,2015-Q1,Stockton,302000.0
92102,2015-Q2,Chollas View,328667.0
92102,2015-Q2,Golden Hill,434333.0
92102,2015-Q2,Lincoln Park,285667.0
92102,2015-Q2,Mt Hope,298667.0
92102,2015-Q2,Stockton,306667.0
92102,2015-Q3,Chollas View,300667.0
92102,2015-Q3,Golden Hill,336667.0
92102,2015-Q3,Lincoln Park,320333.0
92102,2015-Q3,Mt Hope,312667.0
92102,2015-Q3,Stockton,359000.0
92102,2015-Q4,Chollas View,358000.0
92102,2015-Q4,Golden Hill,315667.0
92102,2015-Q4,Lincoln Park,296667.0
92102,2015-Q4,Mt Hope,284000.0
92102,2015-Q4,Stockton,492667.0
92102,2016-Q1,Chollas View,317667.0
92102,2016-Q1,Golden Hill,374333.0
92102,2016-Q1,Lincoln Park,270333.0
92102,2016-Q1,Mt Hope,296000.0
92102,2016-Q1,Stockton,424333.0
92102,2016-Q2,Chollas View,356333.0
92102,2016-Q2,Golden Hill,333333.0
92102,2016-Q2,Lincoln Park,340333.0
92102,2016-Q2,Mt Hope,390000.0
92102,2016-Q2,Stockton,425333.0
92102,2016-Q3,Chollas View,301000.0
92102,2016-Q3,Golden Hill,338667.0
92102,2016-Q3,Lincoln Park,367333.0
92102,2016-Q3,Mt Hope,380000.0
92102,2016-Q3,Stockton,440333.0
92102,2016-Q4,Chollas View,327000.0
92102,2016-Q4,Golden Hill,378667.0
92102,2016-Q4,Lincoln Park,382000.0
92102,2016-Q4,Mt Hope,385000.0
92102,2016-Q4,Stockton,377667.0
92102,2017-Q1,Chollas View,360000.0
92102,2017-Q1,Golden Hill,443333.0
92102,2017-Q1,Lincoln Park,393333.0
92102,2017-Q1,Mt Hope,408000.0
92102,2017-Q1,Stockton,450000.0
92102,2017-Q2,Chollas View,354333.0
92102,2017-Q2,Golden Hill,387333.0
92102,2017-Q2,Lincoln Park,412000.0
92102,2017-Q2,Mt Hope,421333.0
92102,2017-Q2,Stockton,446333.0
92102,2017-Q3,Chollas View,360000.0
92102,2017-Q3,Golden Hill,450333.0
92102,2017-Q3,Lincoln Park,393333.0
92102,2017-Q3,Mt Hope,411000.0
92102,2017-Q3,Stockton,508667.0
92102,2017-Q4,Chollas View,445667.0
92102,2017-Q4,Golden Hill,523333.0
92102,2017-Q4,Lincoln Park,435000.0
92102,2017-Q4,Mt Hope,388667.0
92102,2017-Q4,Stockton,446667.0
92102,2018-Q1,Chollas View,409333.0
92102,2018-Q1,Golden Hill,431667.0
92102,2018-Q1,Lincoln Park,406000.0
92102,2018-Q1,Mt Hope,377333.0
92102,2018-Q1,Stockton,433333.0
92102,2018-Q2,Chollas View,460000.0
92102,2018-Q2,Golden Hill,405000.0
92102,2018-Q2,Lincoln Park,445000.0
92102,2018-Q2,Mt Hope,385000.0
92102,2018-Q2,Stockton,430000.0
92103,2012-Q1,Hillcrest,324000.0
92103,2012-Q1,Midtown,503000.0
92103,2012-Q1,Mission Hills,742667.0
92103,2012-Q1,Park West,401000.0
92103,2012-Q2,Hillcrest,357000.0
92103,2012-Q2,Midtown,566000.0
92103,2012-Q2,Mission Hills,697333.0
92103,2012-Q2,Park West,416667.0
92103,2012-Q3,Hillcrest,354667.0
92103,2012-Q3,Midtown,563667.0
92103,2012-Q3,Mission Hills,668333.0
92103,2012-Q3,Park West,360667.0
92103,2012-Q4,Hillcrest,417667.0
92103,2012-Q4,Midtown,454000.0
92103,2012-Q4,Mission Hills,864667.0
92103,2012-Q4,Park West,431000.0
92103,2013-Q1,Hillcrest,459667.0
92103,2013-Q1,Midtown,658333.0
92103,2013-Q1,Mission Hills,746000.0
92103,2013-Q1,Park West,474333.0
92103,2013-Q2,Hillcrest,444333.0
92103,2013-Q2,Midtown,671667.0
92103,2013-Q2,Mission Hills,841667.0
92103,2013-Q2,Park West,478000.0
92103,2013-Q3,Hillcrest,419667.0
92103,2013-Q3,Midtown,599333.0
92103,2013-Q3,Mission Hills,900000.0
92103,2013-Q3,Park West,529667.0
92103,2013-Q4,Hillcrest,421000.0
92103,2013-Q4,Midtown,405000.0
92103,2013-Q4,Mission Hills,1035333.0
92103,2013-Q4,Park West,515333.0
92103,2014-Q1,Hillcrest,457333.0
92103,2014-Q1,Midtown,478333.0
92103,2014-Q1,Mission Hills,891000.0
92103,2014-Q1,Park West,539333.0
92103,2014-Q2,Hillcrest,503333.0
92103,2014-Q2,Midtown,651333.0
92103,2014-Q2,Mission Hills,821333.0
92103,2014-Q2,Park West,563667.0
92103,2014-Q3,Hillcrest,447667.0
92103,2014-Q3,Midtown,714333.0
92103,2014-Q3,Mission Hills,857000.0
92103,2014-Q3,Park West,604667.0
92103,2014-Q4,Hillcrest,532000.0
92103,2014-Q4,Midtown,753333.0
92103,2014-Q4,Mission Hills,1144667.0
92103,2014-Q4,Park West,661333.0
92103,2015-Q1,Hillcrest,472667.0
92103,2015-Q1,Midtown,831667.0
92103,2015-Q1,Mission Hills,1086000.0
92103,2015-Q1,Park West,581667.0
92103,2015-Q2,Hillcrest,491667.0
92103,2015-Q2,Midtown,772333.0
92103,2015-Q2,Mission Hills,909333.0
92103,2015-Q2,Park West,624333.0
92103,2015-Q3,Hillcrest,528000.0
92103,2015-Q3,Midtown,851667.0
92103,2015-Q3,Mission Hills,1250333.0
92103,2015-Q3,Park West,602000.0
92103,2015-Q4,Hillcrest,478333.0
92103,2015-Q4,Midtown,601667.0
92103,2015-Q4,Mission Hills,1065000.0
92103,2015-Q4,Park West,520333.0
92103,2016-Q1,Hillcrest,459333.0
92103,2016-Q1,Midtown,714333.0
92103,2016-Q1,Mission Hills,950000.0
92103,2016-Q1,Park West,553333.0
92103,2016-Q2,Hillcrest,500000.0
92103,2016-Q2,Midtown,583333.0
92103,2016-Q2,Mission Hills,1075000.0
92103,2016-Q2,Park West,568000.0
92103,2016-Q3,Hillcrest,545333.0
92103,2016-Q3,Midtown,601333.0
92103,2016-Q3,Mission Hills,1184333.0
92103,2016-Q3,Park West,610333.0
92103,2016-Q4,Hillcrest,507000.0
92103,2016-Q4,Midtown,840667.0
92103,2016-Q4,Mission Hills,1058333.0
92103,2016-Q4,Park West,672333.0
92103,2017-Q1,Hillcrest,560333.0
92103,2017-Q1,Midtown,793667.0
92103,2017-Q1,Mission Hills,1050000.0
92103,2017-Q1,Park West,655333.0
92103,2017-Q2,Hillcrest,521000.0
92103,2017-Q2,Midtown,662333.0
92103,2017-Q2,Mission Hills,1264667.0
92103,2017-Q2,Park West,622667.0
92103,2017-Q3,Hillcrest,543333.0
92103,2017-Q3,Midtown,851667.0
92103,2017-Q3,Mission Hills,975000.0
92103,2017-Q3,Park West,695333.0
92103,2017-Q4,Hillcrest,526667.0
92103,2017-Q4,Midtown,876000.0
92103,2017-Q4,Mission Hills,1230667.0
92103,2017-Q4,Park West,821667.0
92103,2018-Q1,Hillcrest,528333.0
